day,count
2017-12-12,42620
2017-12-13,32623
2017-12-14,27495
2017-12-15,22944
2017-12-16,19060
2017-12-17,22403
2017-12-18,40168
2017-12-19,49503
2017-12-20,41463
2017-12-21,37592
2017-12-22,34341
2017-12-23,9608
2017-12-24,13216
2017-12-25,6479
2017-12-26,14113
2017-12-27,16365
2017-12-28,13420
2017-12-29,13759
2017-12-30,5956
2017-12-31,6569
